會計科目,1304 台聚 (上市塑膠工業)
　繼續營業單位稅前淨利（淨損）,3361370
　停業單位稅前淨利（淨損）,4175
　本期稅前淨利（淨損）,3365545
　　　折舊費用,2156511
　　　攤銷費用,80005
　　　預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-4115
　　　透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-216827
　　　利息費用,302569
　　　利息收入,-153706
　　　股利收入,-162687
　　　採用權益法認列之關聯企業及合資損失（利益）之份額,12403
　　　處分及報廢不動產、廠房及設備損失（利益）,-41381
　　　處分其他資產損失（利益）,0
　　　處分採用權益法之投資損失（利益）,0
　　　非金融資產減損損失,113587
　　　非金融資產減損迴轉利益,-22017
　　　其他項目,-148175
　　　收益費損項目合計,1916167
　　　　強制透過損益按公允價值衡量之金融資產（增加）減少,-1063892
　　　　應收票據（增加）減少,381448
　　　　應收帳款（增加）減少,1125888
　　　　其他應收款（增加）減少,8317
　　　　存貨（增加）減少,1805615
　　　　預付款項（增加）減少,-50075
　　　　其他流動資產（增加）減少,-5241
　　　　與營業活動相關之資產之淨變動合計,2202060
　　　　應付票據增加（減少）,-483
　　　　應付帳款增加（減少）,-634836
　　　　其他應付款增加（減少）,13094
　　　　負債準備增加（減少）,-9769
　　　　其他流動負債增加（減少）,-20431
　　　　淨確定福利負債增加(減少),-192652
　　　　與營業活動相關之負債之淨變動合計,-845077
　　　與營業活動相關之資產及負債之淨變動合計,1356983
　　調整項目合計,3273150
　營運產生之現金流入（流出）,6638695
　收取之利息,147870
　支付之利息,-286488
　退還（支付）之所得稅,-427584
營業活動之淨現金流入（流出）,6072493
　取得透過其他綜合損益按公允價值衡量之金融資產,-6550
　處分透過其他綜合損益按公允價值衡量之金融資產,83470
　透過其他綜合損益按公允價值衡量之金融資產減資退回股款,52423
　取得按攤銷後成本衡量之金融資產,-67178
　取得採用權益法之投資,-5161581
　處分採用權益法之投資,0
　取得不動產、廠房及設備,-2002986
　處分不動產、廠房及設備,78460
　存出保證金增加,-21601
　取得無形資產,-6503
　其他非流動資產增加,-180953
　其他預付款項增加,0
　其他預付款項減少,0
　收取之股利,162687
　其他投資活動,192994
　投資活動之淨現金流入（流出）,-6877318
　短期借款增加,-2467874
　應付短期票券減少,-162000
　發行公司債,1995630
　舉借長期借款,24462500
　償還長期借款,-24112154
　存入保證金增加,813
　租賃本金償還,-66023
　其他非流動負債減少,-3042
　發放現金股利,-356629
　非控制權益變動,1525915
　籌資活動之淨現金流入（流出）,817136
匯率變動對現金及約當現金之影響,-208212
本期現金及約當現金增加（減少）數,-195901
期初現金及約當現金餘額,8123304
期末現金及約當現金餘額,7927403
　資產負債表帳列之現金及約當現金,7927403
