會計科目,1304 台聚 (上市塑膠工業)
　繼續營業單位稅前淨利（淨損）,12752442
　本期稅前淨利（淨損）,12752442
　　　折舊費用,2272146
　　　攤銷費用,63774
　　　預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-1426
　　　透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-336404
　　　利息費用,167097
　　　利息收入,-79601
　　　股利收入,-390903
　　　採用權益法認列之關聯企業及合資損失（利益）之份額,727995
　　　處分及報廢不動產、廠房及設備損失（利益）,64669
　　　非金融資產減損損失,39
　　　非金融資產減損迴轉利益,32415
　　　其他項目,18505
　　　收益費損項目合計,2538306
　　　　強制透過損益按公允價值衡量之金融資產（增加）減少,88477
　　　　應收票據（增加）減少,-204169
　　　　應收帳款（增加）減少,-1703446
　　　　其他應收款（增加）減少,-269309
　　　　存貨減少(增加)之調整數,-3334541
　　　　預付款項（增加）減少,-196431
　　　　其他流動資產（增加）減少,-61585
　　　　與營業活動相關之資產之淨變動合計,-5681004
　　　　應付帳款增加（減少）,122161
　　　　其他應付款增加（減少）,525173
　　　　負債準備增加（減少）,-6925
　　　　其他流動負債增加（減少）,190761
　　　　淨確定福利負債增加(減少),-140684
　　　　與營業活動相關之負債之淨變動合計,690486
　　　與營業活動相關之資產及負債之淨變動合計,-4990518
　　調整項目合計,-2452212
　營運產生之現金流入（流出）,10300230
　收取之利息,79222
　支付之利息,-159354
　退還（支付）之所得稅,-1286929
營業活動之淨現金流入（流出）,8933169
　取得透過其他綜合損益按公允價值衡量之金融資產,-4835
　處分透過其他綜合損益按公允價值衡量之金融資產,203458
　透過其他綜合損益按公允價值衡量之金融資產減資退回股款,52244
　取得按攤銷後成本衡量之金融資產,-71820
　處分按攤銷後成本衡量之金融資產,0
　取得採用權益法之投資,0
　對子公司之收購（扣除所取得之現金）,-34056
　取得不動產、廠房及設備,-3622312
　處分不動產、廠房及設備,36325
　存出保證金增加,-6401
　存出保證金減少,0
　取得無形資產,-733
　取得使用權資產,-25567
　取得投資性不動產,-3298
　其他非流動資產增加,-280145
　其他非流動資產減少,0
　收取之股利,390903
　投資活動之淨現金流入（流出）,-3366237
　短期借款減少,-228229
　應付短期票券減少,-377000
　發行公司債,3991268
　償還公司債,-2000000
　舉借長期借款,24225000
　償還長期借款,-27277000
　存入保證金增加,6186
　存入保證金減少,0
　租賃本金償還,-70349
　其他非流動負債減少,-1670
　發放現金股利,-1188763
　非控制權益變動,-1829094
　籌資活動之淨現金流入（流出）,-4749651
匯率變動對現金及約當現金之影響,-88935
本期現金及約當現金增加（減少）數,728346
期初現金及約當現金餘額,9637007
期末現金及約當現金餘額,10365353
　資產負債表帳列之現金及約當現金,10365353
