會計科目,1304 台聚 (上市塑膠工業)
　銷貨收入淨額,55656741
營業收入合計,55656741
　銷貨成本,48924372
營業成本合計,48924372
營業毛利（毛損）,6732369
營業毛利（毛損）淨額,6732369
　　推銷費用,2042577
　　管理費用,1341976
　　研究發展費用,416083
　營業費用合計,3800636
營業利益（損失）,2931733
　　其他收入,729191
　　其他利益及損失淨額,-1929
　　財務成本淨額,285222
　　採用權益法認列之關聯企業及合資損益之份額淨額,-12403
　營業外收入及支出合計,429637
稅前淨利（淨損）,3361370
所得稅費用（利益）合計,820144
繼續營業單位本期淨利（淨損）,2541226
　停業單位損益合計,4175
本期淨利（淨損）,2545401
　　　確定福利計畫之再衡量數,8291
　　　透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-179751
　　　與不重分類之項目相關之所得稅,219
　不重分類至損益之項目：,-171679
　　　國外營運機構財務報表換算之兌換差額,-974471
　　　與可能重分類之項目相關之所得稅,-152665
　後續可能重分類至損益之項目：,-821806
　其他綜合損益（淨額）,-993485
本期綜合損益總額,1551916
　母公司業主（淨利∕損）,1281364
　非控制權益（淨利∕損）,1264037
　母公司業主（綜合損益）,822153
　非控制權益（綜合損益）,729763
　　繼續營業單位淨利（淨損）,1.19
　　停業單位淨利（淨損）,0
　基本每股盈餘,1.19
　　繼續營業單位淨利（淨損）,1.19
　　停業單位淨利（淨損）,0
　稀釋每股盈餘,1.19
