會計科目,1304 台聚 (上市塑膠工業)
　繼續營業單位稅前淨利（淨損）,3071224
　停業單位稅前淨利（淨損）,21777
　本期稅前淨利（淨損）,3093001
　　　折舊費用,1703112
　　　攤銷費用,106670
　　　呆帳費用提列（轉列收入）數,-996
　　　透過損益按公允價值衡量金融資產及負債之淨損失（利益）,31219
　　　利息費用,242193
　　　利息收入,-95154
　　　股利收入,-152347
　　　採用權益法認列之關聯企業及合資損失（利益）之份額,8310
　　　處分及報廢不動產、廠房及設備損失（利益）,-19526
　　　處分投資損失（利益）,-89910
　　　非金融資產減損損失,293277
　　　其他項目,23319
　　　收益費損項目合計,2050167
　　　　持有供交易之金融資產（增加）減少,-243708
　　　　應收票據（增加）減少,265771
　　　　應收帳款（增加）減少,-363993
　　　　其他應收款（增加）減少,-18063
　　　　存貨（增加）減少,322670
　　　　生物資產（增加）減少,412
　　　　預付款項（增加）減少,-174869
　　　　其他流動資產（增加）減少,12768
　　　　與營業活動相關之資產之淨變動合計,-199012
　　　　應付票據增加（減少）,243
　　　　應付帳款增加（減少）,449945
　　　　其他應付款增加（減少）,242299
　　　　負債準備增加（減少）,-8445
　　　　其他流動負債增加（減少）,91246
　　　　淨確定福利負債增加(減少),-551694
　　　　與營業活動相關之負債之淨變動合計,223594
　　　與營業活動相關之資產及負債之淨變動合計,24582
　　調整項目合計,2074749
　營運產生之現金流入（流出）,5167750
　收取之利息,104444
　支付之利息,-253254
　退還（支付）之所得稅,-518471
營業活動之淨現金流入（流出）,4500469
　取得備供出售金融資產,-16011
　處分備供出售金融資產,235290
　取得無活絡市場之債務工具投資,540899
　取得以成本衡量之金融資產,-398
　處分以成本衡量之金融資產,0
　以成本衡量之金融資產減資退回股款,25800
　取得不動產、廠房及設備,-2465276
　處分不動產、廠房及設備,78656
　存出保證金增加,4139
　取得無形資產,-38678
　其他非流動資產增加,-81936
　收取之股利,152347
　投資活動之淨現金流入（流出）,-1565168
　短期借款減少,-581084
　應付短期票券減少,192293
　發行公司債,1995421
　償還公司債,-1000000
　舉借長期借款,5758000
　償還長期借款,-3309207
　存入保證金增加,-7126
　其他非流動負債增加,-13525
　發放現金股利,-571301
　非控制權益變動,-613954
　籌資活動之淨現金流入（流出）,1849517
匯率變動對現金及約當現金之影響,-127897
本期現金及約當現金增加（減少）數,4656921
期初現金及約當現金餘額,7267382
期末現金及約當現金餘額,11924303
　資產負債表帳列之現金及約當現金,11924303
