會計科目,1304 台聚 (上市塑膠工業)
　銷貨收入淨額,50201273
營業收入合計,50201273
　銷貨成本,39721391
營業成本合計,39721391
營業毛利（毛損）,10479882
營業毛利（毛損）淨額,10479882
　　推銷費用,2020552
　　管理費用,1200353
　　研究發展費用,362961
　營業費用合計,3583866
營業利益（損失）,6896016
　　利息收入,102548
　　其他收入,374667
　　其他利益及損失淨額,132342
　　財務成本淨額,221690
　　採用權益法認列之關聯企業及合資損益之份額淨額,-165161
　營業外收入及支出合計,222706
稅前淨利（淨損）,7118722
所得稅費用（利益）合計,1440358
繼續營業單位本期淨利（淨損）,5678364
　停業單位損益合計,4273
本期淨利（淨損）,5682637
　　　確定福利計畫之再衡量數,19250
　　　透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,350419
　　　與不重分類之項目相關之所得稅,6122
　不重分類至損益之項目：,363547
　　　國外營運機構財務報表換算之兌換差額,166163
　　　與可能重分類之項目相關之所得稅,12938
　後續可能重分類至損益之項目：,153225
　其他綜合損益（淨額）,516772
本期綜合損益總額,6199409
　母公司業主（淨利∕損）,2409778
　非控制權益（淨利∕損）,3272859
　母公司業主（綜合損益）,2875537
　非控制權益（綜合損益）,3323872
　　繼續營業單位淨利（淨損）,2.25
　　停業單位淨利（淨損）,0
　基本每股盈餘,2.25
　　繼續營業單位淨利（淨損）,2.24
　　停業單位淨利（淨損）,0
　稀釋每股盈餘,2.24
