會計科目,1304 台聚 (上市塑膠工業)
　銷貨收入淨額,53101997
營業收入合計,53101997
　銷貨成本,46220862
營業成本合計,46220862
營業毛利（毛損）,6881135
營業毛利（毛損）淨額,6881135
　　推銷費用,1925541
　　管理費用,1322958
　　研究發展費用,471152
　營業費用合計,3719651
營業利益（損失）,3161484
　　其他收入,467103
　　其他利益及損失淨額,-337287
　　財務成本淨額,211766
　　採用權益法認列之關聯企業及合資損益之份額淨額,-8310
　營業外收入及支出合計,-90260
稅前淨利（淨損）,3071224
所得稅費用（利益）合計,713523
繼續營業單位本期淨利（淨損）,2357701
　停業單位損益合計,21777
本期淨利（淨損）,2379478
　　確定福利計畫之再衡量數,-206714
　　與不重分類之項目相關之所得稅,-42643
　　國外營運機構財務報表換算之兌換差額,-560356
　　備供出售金融資產未實現評價損益,388884
　　與可能重分類之項目相關之所得稅,-93092
　其他綜合損益（淨額）,-242451
本期綜合損益總額,2137027
　母公司業主（淨利╱損）,1189570
　非控制權益（淨利╱損）,1189908
　母公司業主（綜合損益）,1255498
　非控制權益（綜合損益）,881529
　　繼續營業單位淨利（淨損）,1.15
　　停業單位淨利（淨損）,0
　基本每股盈餘,1.15
　　繼續營業單位淨利（淨損）,1.15
　　停業單位淨利（淨損）,0
　稀釋每股盈餘,1.15
