會計科目,1308 亞聚 (上市塑膠工業)
　銷貨收入淨額,6791157
營業收入合計,6791157
　銷貨成本,5755709
營業成本合計,5755709
營業毛利（毛損）,1035448
營業毛利（毛損）淨額,1035448
　　推銷費用,111574
　　管理費用,120341
　　研究發展費用,5126
　營業費用合計,237041
營業利益（損失）,798407
　　其他收入,165621
　　其他利益及損失淨額,23859
　　財務成本淨額,56163
　　採用權益法認列之關聯企業及合資損益之份額淨額,53117
　營業外收入及支出合計,186434
稅前淨利（淨損）,984841
所得稅費用（利益）合計,163820
繼續營業單位本期淨利（淨損）,821021
本期淨利（淨損）,821021
　　　確定福利計畫之再衡量數,5646
　　　透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,122885
　　　採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,3906
　　　與不重分類之項目相關之所得稅,60
　不重分類至損益之項目：,132377
　　　國外營運機構財務報表換算之兌換差額,-192308
　　　採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-8821
　　　與可能重分類之項目相關之所得稅,-38462
　後續可能重分類至損益之項目：,-162667
　其他綜合損益（淨額）,-30290
本期綜合損益總額,790731
　母公司業主（淨利∕損）,821021
　母公司業主（綜合損益）,790731
　基本每股盈餘,1.48
　稀釋每股盈餘,1.48
