會計科目,1304 台聚 (上市塑膠工業)
　　　現金及約當現金,8123304
　　　透過損益按公允價值衡量之金融資產－流動,5084305
　　　透過其他綜合損益按公允價值衡量之金融資產－流動,158602
　　　備供出售金融資產－流動淨額,0
　　　按攤銷後成本衡量之金融資產－流動淨額,439135
　　　無活絡市場之債務工具投資－流動淨額,0
　　　應收票據淨額,1015882
　　　應收帳款淨額,7532851
　　　其他應收款淨額,279612
　　　本期所得稅資產,8116
　　　存貨,6703104
　　　預付款項,742562
　　　其他流動資產,11909
　　流動資產合計,30099382
　　　透過其他綜合損益按公允價值衡量之金融資產－非流動,2521855
　　　備供出售金融資產－非流動淨額,0
　　　按攤銷後成本衡量之金融資產－非流動淨額,311758
　　　以成本衡量之金融資產－非流動淨額,0
　　　無活絡市場之債務工具投資－非流動淨額,0
　　　採用權益法之投資淨額,10338945
　　　不動產、廠房及設備,23825239
　　　投資性不動產淨額,182424
　　　無形資產,302403
　　　生物資產－非流動,0
　　　遞延所得稅資產,633334
　　　其他非流動資產,775698
　　非流動資產合計,38891656
　資產總額,68991038
　　　短期借款,6726854
　　　應付短期票券,1514784
　　　透過損益按公允價值衡量之金融負債－流動,11135
　　　應付帳款,3392687
　　　其他應付款,1897550
　　　本期所得稅負債,270351
　　　負債準備－流動,0
　　　其他流動負債,838423
　　流動負債合計,14651784
　　　應付公司債,5992604
　　　長期借款,8617624
　　　負債準備－非流動,136375
　　　遞延所得稅負債,1408232
　　　其他非流動負債,1729710
　　非流動負債合計,17884545
　負債總額,32536329
　　　　普通股股本,11887635
　　　股本合計,11887635
　　　資本公積合計,253738
　　　　法定盈餘公積,2925759
　　　　特別盈餘公積,375127
　　　　未分配盈餘（或待彌補虧損）,3513943
　　　保留盈餘合計,6814829
　　　　其他權益－其他,-293443
　　　其他權益合計,-293443
　　　庫藏股票,-475606
　　歸屬於母公司業主之權益合計,18187153
　　非控制權益,18267556
　權益總額,36454709
　負債及權益總計,68991038
　預收股款（權益項下）之約當發行股數（單位：股）,0
　母公司暨子公司所持有之母公司庫藏股股數（單位：股）,116465574
